WorkstationGroupID,Number of Items,Service Time,Time between arrivals,Regular Checkout Number of Items,Regular Checkout Service Times,Self Checkout Number of Items,Self Checkout Service Times,,,,,,,,
1,15,104,8,25,87,1,57,,,,,,,,
8,15,131,6,11,38,1,49,,,,,,,,
1,7,42,3,20,89,3,91,,,,,,,,
1,10,100,1,10,51,1,80,,,,,,,,
8,23,245,1,15,107,2,126,,,,,,,,
1,6,117,0,10,46,20,516,,,,,,,,
1,47,165,16,12,58,1,153,,,,,,,,
1,8,46,8,21,155,3,165,,,,,,,,
1,20,95,6,7,46,10,292,,,,,,,,
1,13,78,7,13,52,8,101,,,,,,,,
1,13,58,16,69,288,3,96,,,,,,,,
8,17,170,9,6,56,11,187,,,,,,,,
1,6,46,23,6,41,6,137,,,,,,,,
1,5,36,10,12,61,7,172,,,,,,,,
1,13,52,3,26,136,25,209,,,,,,,,
1,3,38,10,4,39,1,82,,,,,,,,
1,7,84,0,12,77,14,154,,,,,,,,
1,1,19,9,5,21,5,77,,,,,,,,
1,6,43,2,14,106,7,123,,,,,,,,
1,56,150,1,11,58,6,178,,,,,,,,
8,16,160,1,18,109,13,289,,,,,,,,
1,8,48,6,12,80,2,62,,,,,,,,
1,18,68,9,24,91,8,192,,,,,,,,
1,3,24,11,13,66,6,165,,,,,,,,
1,22,79,13,14,57,8,122,,,,,,,,
1,3,39,0,4,59,11,162,,,,,,,,
1,6,41,5,43,118,2,69,,,,,,,,
1,4,43,4,17,116,3,68,,,,,,,,
1,3,34,23,19,91,3,105,,,,,,,,
1,15,62,3,1,17,9,161,,,,,,,,
1,14,77,4,3,40,4,169,,,,,,,,
1,55,116,2,6,61,12,184,,,,,,,,
1,11,59,2,6,47,1,111,,,,,,,,
1,12,70,5,6,36,11,496,,,,,,,,
1,24,113,15,26,76,8,240,,,,,,,,
8,6,114,1,26,114,13,232,,,,,,,,
8,13,234,2,26,99,4,243,,,,,,,,
1,27,136,12,11,52,3,114,,,,,,,,
8,10,242,6,36,93,12,227,,,,,,,,
8,18,247,10,11,62,1,64,,,,,,,,
1,28,95,6,25,76,11,311,,,,,,,,
1,3,38,9,1,20,17,316,,,,,,,,
1,5,61,3,15,58,5,99,,,,,,,,
1,19,67,1,8,27,19,230,,,,,,,,
1,25,121,7,15,60,1,42,,,,,,,,
8,24,210,18,21,130,31,348,,,,,,,,
1,12,85,17,5,30,2,103,,,,,,,,
1,51,187,6,13,76,4,155,,,,,,,,
1,32,100,9,7,68,7,187,,,,,,,,
1,33,102,7,9,99,8,511,,,,,,,,
8,11,138,2,3,37,3,89,,,,,,,,
1,25,87,1,3,52,21,334,,,,,,,,
1,11,38,9,4,24,4,87,,,,,,,,
1,20,89,13,8,75,2,224,,,,,,,,
1,10,51,16,4,29,3,267,,,,,,,,
1,15,107,5,20,73,1,451,,,,,,,,
1,10,46,11,31,137,14,282,,,,,,,,
1,12,58,19,4,23,28,394,,,,,,,,
1,21,155,8,13,55,6,173,,,,,,,,
1,7,46,5,9,59,5,153,,,,,,,,
1,13,52,3,20,65,2,67,,,,,,,,
1,69,288,3,11,75,2,105,,,,,,,,
1,6,56,6,5,63,22,356,,,,,,,,
1,6,41,14,21,145,29,411,,,,,,,,
1,12,61,6,24,89,12,238,,,,,,,,
8,12,133,9,8,54,2,132,,,,,,,,
1,26,136,8,2,60,14,190,,,,,,,,
8,10,103,3,28,114,5,80,,,,,,,,
1,4,39,1,25,127,15,374,,,,,,,,
1,12,77,1,33,112,17,487,,,,,,,,
8,1,90,5,11,48,2,54,,,,,,,,
1,5,21,3,23,77,5,312,,,,,,,,
1,14,106,2,3,78,6,126,,,,,,,,
8,9,181,1,7,78,6,124,,,,,,,,
8,24,255,11,4,45,7,105,,,,,,,,
