WorkstationGroupID,Number of Items,Service Time,Time between arrivals,,Evening Times Between Arrivals
1,6,42,12,,
1,14,79,10,,
1,14,65,3,,
1,10,39,4,,
8,5,229,4,,
1,5,37,9,,
1,16,75,6,,
8,9,183,3,,
1,12,52,13,,
1,1,12,6,,
1,46,157,5,,
1,14,83,1,,
1,1,25,15,,
1,13,90,3,,
8,3,126,7,,
1,4,32,2,,
1,7,71,10,,
1,14,54,4,,
1,17,72,16,,
1,3,39,25,,
1,10,112,7,,
8,14,353,2,,
1,9,49,5,,
1,19,125,2,,
1,4,18,7,,
1,4,34,4,,
8,5,136,4,,
1,9,69,3,,
1,9,43,23,,
1,9,78,1,,
1,16,64,1,,
1,10,72,3,,
8,7,76,7,,
1,4,54,4,,
8,3,110,4,,
1,22,91,23,,
1,17,126,0,,
8,14,160,12,,
1,2,43,10,,
1,25,92,1,,
1,24,168,8,,
1,32,94,4,,
1,17,86,3,,
8,6,131,1,,
1,6,38,16,,
1,16,142,8,,
8,5,176,5,,
1,1,13,9,,
1,3,21,4,,
1,13,80,2,,
8,7,202,15,,
1,4,31,16,,
1,21,131,7,,
1,44,133,4,,
1,3,27,1,,
1,32,104,3,,
1,11,86,23,,
1,18,95,8,,
8,39,336,1,,
1,15,64,8,,
8,1,63,22,,
1,15,200,6,,
1,15,120,18,,
1,26,117,10,,
1,12,51,5,,
1,14,53,2,,
8,5,218,7,,
8,3,104,6,,
1,12,55,2,,
1,20,279,7,,
1,5,49,6,,
8,10,231,16,,
1,5,84,7,,
1,14,117,2,,
8,13,420,15,,
1,9,113,3,,
1,1,35,14,,
1,14,162,15,,
1,4,67,6,,
1,13,131,5,,
8,11,139,17,,
1,35,182,31,,
1,14,76,8,,
1,5,42,1,,
1,43,157,13,,
1,9,50,28,,
1,12,62,9,,
8,11,310,13,,
1,26,95,4,,
1,14,51,2,,
1,33,131,10,,
1,5,53,3,,
8,5,124,9,,
8,32,341,5,,
8,11,226,7,,
1,25,59,15,,
1,3,43,8,,
1,30,153,6,,
1,6,41,10,,
1,5,40,15,,
1,1,20,4,,
1,9,38,1,,
1,7,42,11,,
1,39,192,4,,
1,5,57,5,,
1,20,56,17,,
1,8,94,1,,
1,2,43,4,,
1,5,103,2,,
8,19,179,28,,
1,7,50,4,,
1,9,53,5,,
1,13,92,36,,
1,24,101,5,,
1,15,101,7,,
1,23,99,2,,
1,40,88,12,,
8,1,47,2,,
1,5,30,15,,
8,19,268,13,,
1,14,49,2,,
1,10,45,15,,
8,4,91,8,,
8,2,206,5,,
1,48,258,15,,
1,18,58,1,,
1,6,31,1,,
1,28,126,2,,
1,7,66,1,,
1,7,67,0,,
8,5,91,5,,
1,51,167,22,,
1,19,67,20,,
8,12,140,6,,
1,28,124,5,,
8,9,242,7,,
1,10,83,2,,
1,10,81,6,,
1,12,47,18,,
8,15,201,3,,
1,48,157,26,,
1,15,86,3,,
1,20,201,25,,
1,1,28,0,,
1,30,102,24,,
1,2,20,4,,
1,2,28,1,,
